-40	-15	1.0201200236149948
-30	-15	1.0188101861763923
-20	-15	1.008435736861444
-10	-15	0.9909111500021907
10	-15	0.9909111500021907
20	-15	1.008435736861444
30	-15	1.0188101861763923
40	-15	1.0201200236149948
-30	-25	1.0090122375024029
-20	-25	1.0133049093903073
-10	-25	1.0093653614536913
10	-25	1.0093653614536913
20	-25	1.0133049093903073
30	-25	1.0090122375024029
-20	-35	1.030542219649528
-10	-35	1.019330543158253
10	-35	1.019330543158253
20	-35	1.030542219649528
-10	-45	1.0235627463896693
10	-45	1.0235627463896693
